Keyword,Commercial intent,Likely buyer,Existing URL,Current H1/title,Keep / Rewrite / New,Supporting proof,Case study,Supporting blog,CTA,Priority
netsuite integration consultant,High,"Ops / IT lead, ecommerce ops, NetSuite admin who needs a builder","/services/netsuite-integration",NetSuite Integration,Rewrite,"SuiteScript 2.x + REST/RESTlet FAQs; Shopify as a common project; retry/dashboard copy",None public (do not invent; do not use hidden IGW),"/blog/netsuite-shopify-integration-pitfalls; /blog/bigcommerce-netsuite-integration-production-problems","Book a Call (Sprint only if one order/inventory workflow)",P0
netsuite integration services,High,Same as consultant (procurement phrasing),"/services/netsuite-integration",NetSuite Integration,Rewrite,Same as consultant row,None public,Same two NetSuite ecommerce blogs,Book a Call,P0
netsuite ecommerce integration,High,"Ecommerce ops, wholesale, DTC+B2B","/services/netsuite-integration + /for/ecommerce-operations","NetSuite Integration / Systems for Ecommerce Operations",Rewrite,"Shopify + 3PL use cases; ecommerce ops industry page — no new /services/netsuite-ecommerce-integration URL",None public,Same two blogs,Book a Call,P0
bigcommerce netsuite integration,High,BigCommerce merchant already on NetSuite,"/services/netsuite-integration (primary) + /blog/bigcommerce-netsuite-integration-production-problems","Service H1 Shopify-heavy; blog is the BC specialist URL",Rewrite,"Live CMS BOFU article; BigCommerce in tech marquee. No new service URL in v1",None public,/blog/bigcommerce-netsuite-integration-production-problems,Book a Call,P1
shopify netsuite integration,High,Shopify + NetSuite merchant,/services/netsuite-integration,NetSuite Integration,Rewrite,"FAQ: Shopify sync is a most-common project; use case Shopify order → NetSuite SO → 3PL",None public,/blog/netsuite-shopify-integration-pitfalls,Book a Call,P0
netsuite integration developer,High,Technical buyer hiring an implementer,/services/netsuite-integration,NetSuite Integration,Rewrite,SuiteScript 2.x REST scheduled scripts RESTlets named in FAQ — same URL as services not a split,None public,Shopify + BigCommerce blogs,Book a Call,P1
netsuite inventory sync,High,Ecommerce / warehouse ops,"/services/netsuite-erp-automation (primary) + /services/netsuite-integration","NetSuite & ERP Automation / NetSuite Integration",Rewrite,"Section not a new page. Capabilities already list inventory/fulfillment sync",None public,Inventory sections in both ecommerce–NetSuite blogs,Book a Call,P1
netsuite order automation,High,"Ecommerce ops, finance, 3PL",/services/netsuite-erp-automation,NetSuite & ERP Automation,Rewrite,"Same URL; shift H1 toward order automation vs generic ERP. Use case Shopify order → NetSuite SO → 3PL",None public,Shopify pitfalls; BigCommerce order-sync article,Book a Call or Sprint for one exception workflow,P1
ai workflow automation company,High,"Ops lead, COO, founder",/services/ai-workflow-automation,AI Workflow Automation,Rewrite,Production software vs Zapier; NetSuite/Salesforce FAQ; logging/retries,"SalesAngel (not currently linked from this URL)","/blog/how-much-does-ai-automation-cost; /blog/identify-workflows-worth-automating-with-ai; /blog/ai-automation-workflows-for-operations-teams",Sprint primary; Book a Call for multi-workflow,P0
ai workflow automation agency,High,Same as company,/services/ai-workflow-automation,AI Workflow Automation,Rewrite,"Same URL; send compare traffic to /compare/ai-systems-sprint-vs-traditional-automation",SalesAngel,Same AI blogs,Sprint + Book a Call,P0
ai automation consultant,High,Ops / founder wanting a partner not a tool,/services/ai-automation-systems,AI Automation Systems,Rewrite,Umbrella page: agents WhatsApp CRM NetSuite; sprint FAQ,SalesAngel (already linked),Ops workflow examples; /blog/ai-agent-vs-chatbot-for-business,Sprint + Book a Call,P0
business process automation with ai,High,Ops teams stuck in Zapier/sheets,"/services/business-process-automation + /services/ai-workflow-automation","Business Process Automation / AI Workflow Automation",Rewrite,BPA already vs Zapier and names NetSuite/Shopify — no new /services/bpa-with-ai slug,None on BPA URL,Ops examples + identify-workflows post,Sprint,P1
ai integration services,High,Product or ops wiring AI to CRM/ERP,"/services/ai-workflow-automation + /services/api-integration","AI Workflow Automation / API Integration",Rewrite,Tool-use CRM/ERP on agent + workflow pages — no new AI-integration slug,SalesAngel; no integration-named CS,Agent vs chatbot; cost post,Book a Call,P1
saas mvp development company,High,Non-technical or thin-team founder,/services/saas-mvp-development,SaaS MVP Development,Rewrite,"Auth Stripe AWS 4–8 week FAQ; PropertyMatch 14-day MVP",PropertyMatch,/blog/building-production-ready-saas-mvp,Book a Call; MVP Build on /engagement-models,P0
saas development agency,High,Founder / product lead past prototype,"/services/web-app-saas-development (secondary /services/b2b-saas-development)",Web App & SaaS Development,Rewrite,Production foundations; takeover FAQ,PropertyMatch + SalesAngel,/blog/building-production-ready-saas-mvp,Book a Call,P0
